City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,vuktyl,63.8567,57.3094,-5.5,75,13,4.47,RU,2024-04-24
79,belyy yar,53.6039,91.3903,-1.06,64,40,3.0,RU,2024-04-24
80,tamanrasset,22.785,5.5228,18.95,14,3,2.57,DZ,2024-04-24
81,jilib,0.4883,42.7854,25.18,94,100,0.75,SO,2024-04-24
82,forres,57.6113,-3.6108,5.12,73,75,4.63,GB,2024-04-24
83,anadyr,64.75,177.4833,-2.72,86,75,11.0,RU,2024-04-24
84,cooper's town,26.8667,-77.5167,21.04,60,76,5.62,BS,2024-04-24
85,bandar lampung,-5.4254,105.258,29.76,71,97,1.59,ID,2024-04-24
86,saint-francois,46.4154,3.9054,0.36,93,0,0.0,FR,2024-04-24
87,minas de marcona,-15.2119,-75.1103,16.84,86,100,5.08,PE,2024-04-24
88,baidoa,3.1138,43.6498,24.08,94,94,3.04,SO,2024-04-24
89,chibougamau,49.9168,-74.3659,-4.21,86,100,5.66,CA,2024-04-24
90,port saint john's,-31.6229,29.5448,21.89,87,94,3.16,ZA,2024-04-24
91,vorgashor,67.5833,63.95,-17.33,93,22,1.78,RU,2024-04-24
92,phimai,15.2232,102.4947,36.73,33,12,3.82,TH,2024-04-24
93,nili,33.7218,66.1302,12.02,36,59,1.68,AF,2024-04-24
94,sao joao da barra,-21.6403,-41.0511,24.04,90,0,3.28,BR,2024-04-24
95,bengkulu,-3.8004,102.2655,27.99,75,100,0.19,ID,2024-04-24
96,glace bay,46.1969,-59.957,1.66,81,100,0.89,CA,2024-04-24
97,san andres,12.5847,-81.7006,29.01,74,20,5.66,CO,2024-04-24
98,puerto ayora,-0.7393,-90.3518,24.75,97,77,0.45,EC,2024-04-24
99,adamstown,-25.066,-130.1015,23.02,85,100,9.97,PN,2024-04-24
100,port elizabeth,-33.918,25.5701,17.16,94,100,1.03,ZA,2024-04-24
101,broome,42.2506,-75.833,12.6,73,100,2.06,US,2024-04-24
102,mokshan,53.4365,44.6132,9.79,80,0,4.19,RU,2024-04-24
103,grand gaube,-20.0064,57.6608,25.22,93,1,4.92,MU,2024-04-24
104,mogadishu,2.0371,45.3438,28.69,77,50,2.51,SO,2024-04-24
105,chistopol',55.3631,50.6424,9.89,86,100,5.1,RU,2024-04-24
106,qarazhal,48.0078,70.7903,17.08,27,82,3.03,KZ,2024-04-24
107,kasempa,-13.4584,25.8338,14.07,50,17,2.02,ZM,2024-04-24
108,lata,40.1629,-8.3327,9.49,77,60,1.72,PT,2024-04-24
